"","year","selling_price","km_driven","fuel","seller_type","transmission","owner"
"2137",2017,750000,51777,"Diesel","Dealer","Manual","First Owner"
"2138",2013,1650000,64788,"Diesel","Dealer","Automatic","First Owner"
"2139",2018,600000,20000,"Petrol","Individual","Manual","First Owner"
"2140",2018,565000,19000,"Petrol","Individual","Manual","First Owner"
"2141",2000,86000,46951,"Petrol","Individual","Manual","First Owner"
"2142",2016,329000,19000,"Petrol","Individual","Manual","First Owner"
"2143",2016,650000,50000,"Diesel","Individual","Manual","First Owner"
"2144",2015,822000,60000,"Diesel","Individual","Manual","First Owner"
"2145",2013,345000,100000,"Diesel","Individual","Manual","Second Owner"
"2146",2001,30000,10000,"Petrol","Individual","Manual","First Owner"
"2147",2012,330000,50000,"Diesel","Individual","Manual","Second Owner"
"2148",2014,300000,74537,"Petrol","Individual","Manual","Second Owner"
"2149",2009,200000,90000,"Petrol","Individual","Automatic","Second Owner"
"2150",2012,200000,80000,"Diesel","Individual","Manual","Second Owner"
"2151",2010,90000,70000,"Petrol","Individual","Manual","Second Owner"
"2152",2010,200000,80000,"Petrol","Individual","Manual","Second Owner"
"2153",2016,550000,35000,"Diesel","Individual","Manual","First Owner"
"2154",2015,250000,23500,"Petrol","Individual","Manual","First Owner"
"2155",2017,975000,82000,"Diesel","Individual","Manual","First Owner"
"2156",2014,900000,100000,"Diesel","Individual","Manual","Second Owner"
"2157",2018,610000,15000,"Petrol","Individual","Manual","First Owner"
"2158",2017,620000,30000,"Diesel","Individual","Manual","First Owner"
"2159",2016,400000,30000,"Petrol","Individual","Manual","First Owner"
"2160",2019,500000,11000,"Petrol","Individual","Manual","First Owner"
"2161",2017,200000,140000,"Petrol","Individual","Manual","First Owner"
"2162",2016,360000,110000,"Diesel","Individual","Manual","First Owner"
"2163",2012,252000,48000,"Petrol","Individual","Manual","First Owner"
"2164",2012,280000,70000,"Diesel","Individual","Manual","Second Owner"
"2165",2018,509999,70000,"Petrol","Individual","Manual","Second Owner"
"2166",2016,1050000,58000,"Diesel","Individual","Manual","First Owner"
"2167",2010,200000,40000,"LPG","Individual","Manual","Fourth & Above Owner"
"2168",2005,60000,90000,"Petrol","Individual","Manual","Second Owner"
"2169",2010,320000,40000,"Diesel","Individual","Manual","Second Owner"
"2170",2013,520000,110000,"Diesel","Individual","Manual","First Owner"
"2171",2007,250000,80000,"Diesel","Individual","Manual","Second Owner"
"2172",2017,725000,60000,"Diesel","Individual","Manual","First Owner"
"2173",2015,585000,50000,"Diesel","Individual","Manual","First Owner"
"2174",2017,430000,25000,"Petrol","Individual","Manual","First Owner"
"2175",2011,235000,100000,"Diesel","Individual","Manual","Second Owner"
"2176",2012,350000,52000,"Diesel","Individual","Manual","Third Owner"
"2177",2010,131000,80000,"Petrol","Individual","Manual","Third Owner"
"2178",2016,450000,85000,"Diesel","Individual","Manual","First Owner"
"2179",2016,750000,83000,"Diesel","Individual","Manual","First Owner"
"2180",2013,200000,50000,"Petrol","Individual","Manual","First Owner"
"2181",2009,125000,120000,"Petrol","Individual","Manual","Fourth & Above Owner"
"2182",2014,500000,100000,"Diesel","Individual","Manual","First Owner"
"2183",2012,380000,70000,"Diesel","Individual","Manual","Third Owner"
"2184",2008,128000,19000,"Petrol","Individual","Manual","First Owner"
"2185",2009,250000,68600,"Petrol","Individual","Manual","Third Owner"
"2186",2017,690000,60000,"Diesel","Individual","Manual","First Owner"
"2187",2014,650000,65000,"Diesel","Individual","Manual","Second Owner"
"2188",2012,560000,40000,"Petrol","Individual","Manual","Second Owner"
"2189",2012,120000,160000,"Diesel","Individual","Manual","Second Owner"
"2190",2016,400000,25000,"Petrol","Individual","Manual","First Owner"
"2191",2012,200000,29500,"Petrol","Individual","Manual","First Owner"
"2192",2018,950000,13887,"Petrol","Individual","Manual","First Owner"
"2193",2016,300000,50000,"Petrol","Individual","Manual","Second Owner"
"2194",2016,315000,30000,"Petrol","Individual","Manual","Second Owner"
"2195",2012,220000,100000,"Petrol","Individual","Manual","First Owner"
"2196",2011,130000,60000,"Petrol","Individual","Manual","Second Owner"
"2197",2016,595000,60000,"Diesel","Individual","Manual","Second Owner"
"2198",2011,110000,120000,"Diesel","Individual","Manual","First Owner"
"2199",2017,680000,13500,"Petrol","Individual","Manual","First Owner"
"2200",2013,280000,52000,"Diesel","Individual","Manual","First Owner"
"2201",2017,530000,30000,"Petrol","Individual","Manual","Second Owner"
"2202",2017,610000,14000,"Petrol","Individual","Manual","First Owner"
"2203",2014,500000,90000,"Diesel","Individual","Manual","Second Owner"
"2204",2018,500000,50000,"Diesel","Individual","Manual","First Owner"
"2205",2010,250000,120000,"Diesel","Individual","Manual","Second Owner"
"2206",2018,325000,10000,"Petrol","Individual","Manual","First Owner"
"2207",2018,550000,10000,"Petrol","Individual","Manual","First Owner"
"2208",2018,720000,25000,"Petrol","Individual","Manual","First Owner"
"2209",2017,950000,20000,"Petrol","Individual","Manual","First Owner"
"2210",2013,350000,60000,"Diesel","Individual","Manual","First Owner"
"2211",2018,500000,40000,"Petrol","Individual","Manual","First Owner"
"2212",2012,380000,60000,"Diesel","Individual","Manual","First Owner"
"2213",2015,380000,50000,"Petrol","Individual","Automatic","First Owner"
"2214",2017,900000,20000,"Petrol","Individual","Manual","First Owner"
"2215",2017,295000,35000,"Petrol","Individual","Manual","First Owner"
"2216",2016,640000,40000,"Diesel","Individual","Manual","First Owner"
"2217",2018,790000,60000,"Diesel","Individual","Manual","First Owner"
"2218",2015,625000,20000,"Petrol","Individual","Manual","First Owner"
"2219",2017,604000,30000,"Petrol","Individual","Manual","Second Owner"
"2220",2015,315000,29000,"Petrol","Individual","Manual","First Owner"
"2221",2019,950000,17000,"Diesel","Individual","Manual","First Owner"
"2222",2017,400000,50000,"Petrol","Individual","Manual","First Owner"
"2223",2018,700000,42000,"Petrol","Individual","Automatic","First Owner"
"2224",2011,700000,120000,"Diesel","Individual","Manual","Second Owner"
"2225",2012,260000,110000,"Diesel","Individual","Manual","First Owner"
"2226",2012,200000,90000,"Diesel","Individual","Manual","First Owner"
"2227",2020,580000,70000,"Petrol","Individual","Manual","First Owner"
"2228",2011,330000,66000,"Diesel","Individual","Manual","Second Owner"
"2229",2011,400000,70000,"Diesel","Individual","Manual","Third Owner"
"2230",2018,1350000,5000,"Petrol","Individual","Automatic","First Owner"
"2231",2014,250000,50000,"Diesel","Individual","Manual","Second Owner"
"2232",2019,725000,25000,"Petrol","Individual","Manual","First Owner"
"2233",2013,300000,70000,"Diesel","Individual","Manual","First Owner"
"2234",2006,120000,40000,"Petrol","Individual","Manual","Second Owner"
"2235",2016,1175000,110000,"Diesel","Individual","Manual","First Owner"
"2236",2009,380000,150000,"Diesel","Individual","Manual","First Owner"
"2237",2014,400000,45000,"Diesel","Individual","Manual","First Owner"
"2238",2005,140000,90000,"Diesel","Individual","Manual","Third Owner"
"2239",2011,229999,140000,"Diesel","Individual","Manual","Second Owner"
"2240",2003,110000,83000,"Petrol","Individual","Manual","Second Owner"
"2241",2011,550000,106000,"Diesel","Individual","Automatic","Second Owner"
"2242",2008,150000,60000,"Petrol","Individual","Manual","Fourth & Above Owner"
"2243",2017,265000,40000,"Petrol","Individual","Manual","Second Owner"
"2244",2011,300000,138000,"Petrol","Individual","Manual","Third Owner"
"2245",2015,280000,80000,"Petrol","Individual","Manual","First Owner"
"2246",2005,130000,50000,"Petrol","Individual","Manual","Second Owner"
"2247",2015,350000,50000,"Petrol","Individual","Manual","First Owner"
"2248",2009,200000,120000,"Petrol","Individual","Manual","First Owner"
"2249",2018,550000,24400,"Petrol","Individual","Manual","First Owner"
"2250",2013,400000,60000,"Diesel","Individual","Manual","Second Owner"
"2251",2010,170000,120000,"Petrol","Individual","Manual","Second Owner"
"2252",2015,600000,60000,"Diesel","Individual","Manual","Second Owner"
"2253",2011,130000,100000,"Petrol","Individual","Manual","Second Owner"
"2254",2007,120000,60000,"CNG","Individual","Manual","Second Owner"
"2255",2011,100000,120000,"Petrol","Individual","Manual","Second Owner"
"2256",2016,310000,27500,"Petrol","Individual","Manual","First Owner"
"2257",2007,35000,10000,"Petrol","Individual","Manual","First Owner"
"2258",2010,200000,120000,"Petrol","Individual","Manual","Third Owner"
"2259",2009,270000,70000,"Diesel","Individual","Manual","Second Owner"
"2260",2015,650000,80000,"Diesel","Individual","Manual","First Owner"
"2261",2013,210000,120000,"Petrol","Individual","Manual","First Owner"
"2262",2015,509999,90000,"Diesel","Individual","Manual","First Owner"
"2263",2013,229999,70000,"Diesel","Individual","Manual","First Owner"
"2264",2014,409999,188000,"Diesel","Individual","Manual","Second Owner"
"2265",2011,130000,67840,"Petrol","Individual","Manual","First Owner"
"2266",2013,95000,30000,"Petrol","Individual","Manual","First Owner"
"2267",2016,225000,35000,"Petrol","Individual","Manual","Second Owner"
"2268",2010,256999,150000,"Diesel","Individual","Manual","Second Owner"
"2269",2017,775000,100000,"Diesel","Individual","Manual","First Owner"
"2270",2017,420000,30000,"Petrol","Individual","Manual","First Owner"
"2271",2016,480000,70000,"Petrol","Individual","Manual","First Owner"
"2272",2003,200000,149032,"Diesel","Individual","Manual","First Owner"
"2273",2010,260000,380000,"Diesel","Individual","Manual","Second Owner"
"2274",2011,210000,84050,"Petrol","Individual","Manual","First Owner"
"2275",2018,600000,15000,"Petrol","Individual","Manual","First Owner"
"2276",2009,140000,140000,"Diesel","Individual","Manual","Second Owner"
"2277",2010,130000,120000,"Petrol","Individual","Manual","Third Owner"
"2278",2007,195000,112880,"Diesel","Dealer","Manual","First Owner"
"2279",2013,210000,135000,"Diesel","Dealer","Manual","Second Owner"
"2280",2006,130000,80000,"Petrol","Individual","Manual","Third Owner"
"2281",2012,141000,128000,"Petrol","Individual","Manual","Third Owner"
"2282",2011,280000,120000,"Diesel","Individual","Manual","First Owner"
"2283",2010,350000,30000,"Petrol","Individual","Automatic","First Owner"
"2284",2018,575000,70000,"Petrol","Individual","Manual","First Owner"
"2285",2015,550000,41000,"Petrol","Individual","Manual","First Owner"
"2286",2011,420000,28100,"Petrol","Individual","Manual","First Owner"
"2287",2006,120000,30000,"Petrol","Individual","Manual","Second Owner"
"2288",2015,320000,30000,"Petrol","Individual","Manual","First Owner"
"2289",2011,250000,35000,"Petrol","Individual","Manual","First Owner"
"2290",2010,300000,22000,"Petrol","Individual","Manual","First Owner"
"2291",2006,250000,70000,"Petrol","Individual","Manual","First Owner"
"2292",2005,120000,100000,"Petrol","Individual","Manual","Second Owner"
"2293",2018,750000,70000,"Diesel","Individual","Manual","First Owner"
"2294",2005,151000,200000,"Diesel","Individual","Manual","Second Owner"
"2295",2011,300000,120000,"Diesel","Individual","Manual","First Owner"
"2296",2019,577000,3000,"Petrol","Individual","Manual","First Owner"
"2297",2012,229999,50000,"Petrol","Individual","Manual","First Owner"
"2298",2013,500000,50000,"Diesel","Individual","Manual","First Owner"
"2299",2019,840000,1500,"Petrol","Individual","Automatic","First Owner"
"2300",2017,900000,74000,"Diesel","Individual","Manual","First Owner"
"2301",2017,650000,25000,"Petrol","Individual","Manual","First Owner"
"2302",2016,650000,61915,"Diesel","Individual","Manual","First Owner"
"2303",2016,250000,110000,"Petrol","Individual","Manual","First Owner"
"2304",2016,550000,70000,"Diesel","Individual","Manual","First Owner"
"2305",2007,250000,150000,"Diesel","Individual","Manual","Fourth & Above Owner"
"2306",2013,350000,110000,"Diesel","Individual","Manual","Second Owner"
"2307",2014,185000,90000,"Diesel","Individual","Manual","Second Owner"
"2308",2010,229999,120000,"Petrol","Individual","Manual","Third Owner"
"2309",2016,1000000,65000,"Diesel","Individual","Manual","First Owner"
"2310",2019,490000,10000,"Petrol","Individual","Manual","First Owner"
"2311",2009,150000,80000,"Petrol","Individual","Manual","Second Owner"
"2312",2013,600000,184000,"Diesel","Individual","Manual","First Owner"
"2313",2013,270000,80000,"CNG","Individual","Manual","Second Owner"
"2314",2005,60000,70000,"Petrol","Individual","Manual","Second Owner"
"2315",2008,150000,89000,"Petrol","Individual","Manual","Second Owner"
"2316",2014,335000,33033,"Petrol","Dealer","Manual","First Owner"
"2317",2013,525000,69000,"Diesel","Individual","Manual","Second Owner"
"2318",2015,465000,63063,"Petrol","Dealer","Automatic","First Owner"
"2319",2012,83000,90000,"Diesel","Individual","Manual","Second Owner"
"2320",2017,300000,8000,"Petrol","Individual","Manual","First Owner"
"2321",2012,350000,35000,"Petrol","Individual","Manual","First Owner"
"2322",2011,300000,45000,"Petrol","Individual","Manual","First Owner"
"2323",2011,250000,30000,"Diesel","Individual","Manual","First Owner"
"2324",2006,114999,59000,"Petrol","Individual","Manual","Second Owner"
"2325",2018,700000,6200,"Petrol","Individual","Manual","First Owner"
"2326",2020,250000,120000,"Petrol","Individual","Manual","Second Owner"
"2327",2016,350000,70000,"Petrol","Individual","Manual","First Owner"
"2328",1998,80000,70000,"Petrol","Individual","Manual","First Owner"
"2329",2017,850000,110000,"Diesel","Individual","Manual","First Owner"
"2330",2004,70000,158000,"Petrol","Individual","Manual","First Owner"
"2331",2007,90000,93000,"Petrol","Individual","Manual","Third Owner"
"2332",2014,600000,110000,"Diesel","Individual","Manual","First Owner"
"2333",2007,135000,57000,"Petrol","Individual","Manual","First Owner"
"2334",2005,150000,120000,"Petrol","Individual","Manual","First Owner"
"2335",2012,259000,35000,"Diesel","Individual","Manual","First Owner"
"2336",2012,220000,90000,"Diesel","Individual","Manual","First Owner"
"2337",2012,246000,35000,"Diesel","Individual","Manual","Second Owner"
"2338",2009,240000,120000,"Petrol","Individual","Manual","First Owner"
"2339",2018,946000,60000,"Diesel","Individual","Manual","First Owner"
"2340",2011,215000,70000,"Diesel","Individual","Manual","First Owner"
"2341",1999,50000,60000,"Petrol","Individual","Manual","Fourth & Above Owner"
"2342",2013,310000,100000,"Diesel","Individual","Manual","First Owner"
"2343",2008,220000,35000,"Petrol","Individual","Manual","First Owner"
"2344",2008,195000,90000,"Diesel","Individual","Manual","Third Owner"
"2345",2015,650000,50000,"Petrol","Individual","Manual","First Owner"
"2346",2011,350000,98000,"Petrol","Individual","Manual","First Owner"
"2347",2013,360000,30000,"Petrol","Individual","Manual","First Owner"
"2348",2013,550000,50000,"Petrol","Individual","Manual","Second Owner"
"2349",2016,490000,26000,"Petrol","Individual","Manual","First Owner"
"2350",2011,195000,46000,"Petrol","Individual","Manual","Second Owner"
"2351",2010,125000,80000,"Petrol","Individual","Manual","Fourth & Above Owner"
"2352",2019,459999,10000,"Petrol","Individual","Manual","First Owner"
"2353",2015,275000,16700,"Petrol","Individual","Manual","First Owner"
"2354",2018,680000,70000,"Diesel","Individual","Manual","First Owner"
"2355",2015,600000,7967,"Petrol","Individual","Manual","First Owner"
"2356",2018,720000,20000,"Petrol","Individual","Manual","First Owner"
"2357",2011,295000,50000,"Diesel","Individual","Manual","First Owner"
"2358",2016,356000,9656,"Petrol","Individual","Manual","First Owner"
"2359",2011,225000,50000,"Petrol","Individual","Manual","First Owner"
"2360",2019,725000,17000,"Diesel","Individual","Manual","First Owner"
"2361",2010,130000,50000,"Petrol","Individual","Manual","First Owner"
"2362",2015,300000,10000,"Petrol","Individual","Manual","First Owner"
"2363",2013,400000,43000,"Petrol","Individual","Manual","Second Owner"
"2364",2013,550000,50000,"Diesel","Individual","Manual","First Owner"
"2365",2006,120000,90000,"Petrol","Individual","Manual","Second Owner"
"2366",2012,409999,100000,"Diesel","Individual","Manual","Second Owner"
"2367",2010,110000,80000,"Petrol","Individual","Manual","Second Owner"
"2368",2012,450000,120000,"Diesel","Individual","Manual","First Owner"
"2369",2019,610000,5000,"Petrol","Individual","Manual","First Owner"
"2370",2016,515000,68609,"Diesel","Dealer","Manual","First Owner"
"2371",2018,925000,33360,"Diesel","Dealer","Manual","First Owner"
"2372",2019,860000,14317,"Petrol","Dealer","Manual","First Owner"
"2373",2012,225000,87237,"Diesel","Dealer","Manual","Second Owner"
"2374",2017,500000,62960,"Diesel","Dealer","Manual","First Owner"
"2375",2017,600000,26634,"Petrol","Dealer","Automatic","First Owner"
"2376",2012,195000,163720,"Diesel","Dealer","Manual","First Owner"
"2377",2012,265000,67998,"Petrol","Dealer","Manual","First Owner"
"2378",2018,650000,20706,"Diesel","Dealer","Manual","First Owner"
"2379",2015,415000,100581,"Diesel","Dealer","Manual","First Owner"
"2380",2015,600000,67303,"Diesel","Dealer","Manual","First Owner"
"2381",2013,340000,79139,"Petrol","Dealer","Manual","First Owner"
"2382",2014,350000,84784,"Diesel","Dealer","Manual","First Owner"
"2383",2012,265000,130376,"Diesel","Dealer","Manual","Second Owner"
"2384",2017,625000,72000,"Diesel","Individual","Manual","First Owner"
"2385",2008,245000,127000,"Diesel","Individual","Manual","Second Owner"
"2386",2014,395000,120000,"Diesel","Individual","Manual","First Owner"
"2387",2010,190000,120000,"Diesel","Individual","Manual","Second Owner"
"2388",2014,490000,100000,"Diesel","Individual","Manual","First Owner"
"2389",2012,450000,148000,"Diesel","Individual","Manual","Second Owner"
"2390",2018,955000,40000,"Diesel","Individual","Manual","First Owner"
"2391",2013,525000,110000,"Diesel","Individual","Manual","First Owner"
"2392",2017,550000,30000,"Petrol","Individual","Manual","First Owner"
"2393",2014,200000,120000,"Diesel","Individual","Manual","Second Owner"
"2394",2017,500000,15000,"Petrol","Individual","Manual","First Owner"
"2395",2016,825000,33500,"Diesel","Individual","Manual","First Owner"
"2396",2012,250000,70000,"Diesel","Individual","Manual","First Owner"
"2397",2015,600000,10000,"Petrol","Individual","Manual","First Owner"
"2398",2018,1325000,22053,"Diesel","Individual","Manual","First Owner"
"2399",2016,770000,50000,"Diesel","Individual","Manual","First Owner"
"2400",2011,415000,78432,"Diesel","Individual","Manual","First Owner"
"2401",2011,825000,125000,"Diesel","Individual","Manual","Second Owner"
"2402",2018,530000,80000,"Diesel","Individual","Manual","First Owner"
"2403",2006,425000,270000,"Diesel","Individual","Manual","Third Owner"
"2404",2012,310000,50000,"Petrol","Individual","Manual","Second Owner"
"2405",2017,390000,20000,"Petrol","Individual","Manual","First Owner"
"2406",2016,700000,30000,"Petrol","Individual","Manual","First Owner"
"2407",2010,200000,70000,"Petrol","Individual","Manual","Second Owner"
"2408",2013,1050000,7200,"Diesel","Individual","Manual","First Owner"
"2409",2014,580000,97000,"Diesel","Individual","Manual","First Owner"
"2410",2014,200000,60000,"Petrol","Individual","Manual","Second Owner"
"2411",2013,245000,25000,"Petrol","Individual","Manual","First Owner"
"2412",2010,210000,94000,"Petrol","Individual","Manual","Second Owner"
"2413",2005,50000,90000,"Petrol","Individual","Manual","Second Owner"
"2414",2012,700000,50000,"Diesel","Individual","Automatic","Second Owner"
"2415",2019,660000,35000,"Diesel","Individual","Manual","First Owner"
"2416",2015,630000,117500,"Petrol","Individual","Manual","Second Owner"
"2417",2012,950000,78500,"Diesel","Individual","Manual","First Owner"
"2418",2018,740000,8000,"Petrol","Individual","Manual","First Owner"
"2419",2017,570000,25000,"Petrol","Individual","Manual","First Owner"
"2420",2012,450000,60000,"Diesel","Individual","Manual","Third Owner"
"2421",2019,390000,10000,"Petrol","Individual","Manual","First Owner"
"2422",2009,180000,70000,"Petrol","Individual","Manual","Second Owner"
"2423",2015,130000,60000,"Petrol","Individual","Manual","First Owner"
"2424",2006,270000,70000,"Petrol","Individual","Manual","Second Owner"
"2425",1997,60000,25000,"Petrol","Individual","Manual","Third Owner"
"2426",2006,170000,90000,"Petrol","Individual","Manual","Third Owner"
"2427",2015,978999,90000,"Diesel","Individual","Manual","First Owner"
"2428",2018,490000,25000,"Petrol","Individual","Manual","First Owner"
"2429",2012,280000,60000,"Diesel","Individual","Manual","Second Owner"
"2430",2018,390000,25000,"Petrol","Individual","Manual","First Owner"
"2431",2013,170000,60000,"Petrol","Individual","Manual","Fourth & Above Owner"
"2432",2008,45000,70000,"Petrol","Individual","Manual","First Owner"
"2433",2016,640000,80000,"Diesel","Individual","Manual","Second Owner"
"2434",2015,650000,110000,"Diesel","Individual","Manual","Second Owner"
"2435",2013,500000,115717,"Diesel","Individual","Manual","First Owner"
"2436",2008,90000,110000,"Diesel","Individual","Manual","Second Owner"
"2437",2014,480000,70000,"Diesel","Individual","Manual","Second Owner"
"2438",2019,630000,4000,"Petrol","Individual","Manual","First Owner"
"2439",2011,250000,50000,"Petrol","Individual","Manual","First Owner"
"2440",2016,330000,70000,"Petrol","Individual","Manual","Fourth & Above Owner"
"2441",2009,180000,70000,"Petrol","Individual","Manual","Second Owner"
"2442",2010,210000,50000,"Petrol","Individual","Manual","Second Owner"
"2443",2016,550000,55000,"Diesel","Individual","Manual","First Owner"
"2444",2020,950000,5000,"Petrol","Individual","Automatic","First Owner"
"2445",2013,430000,100000,"Diesel","Individual","Manual","Second Owner"
"2446",2014,348000,23000,"Petrol","Individual","Manual","Second Owner"
"2447",2014,196000,60000,"Petrol","Individual","Manual","Second Owner"
"2448",2010,150000,70000,"Petrol","Individual","Manual","Second Owner"
"2449",2005,90000,82000,"Petrol","Individual","Manual","Fourth & Above Owner"
"2450",2009,150000,60000,"Petrol","Individual","Manual","Second Owner"
"2451",2019,1250000,100000,"Diesel","Individual","Manual","First Owner"
"2452",2015,600000,90000,"Diesel","Individual","Manual","Third Owner"
"2453",2010,65000,26432,"Petrol","Dealer","Manual","First Owner"
"2454",2016,220000,46702,"Petrol","Dealer","Manual","First Owner"
"2455",2016,220000,46706,"Petrol","Dealer","Manual","First Owner"
"2456",2006,110000,53523,"Petrol","Dealer","Manual","First Owner"
"2457",2012,175000,56365,"Diesel","Dealer","Manual","First Owner"
"2458",2011,160000,49563,"Petrol","Dealer","Manual","First Owner"
"2459",2004,65000,56432,"Petrol","Dealer","Manual","First Owner"
"2460",2002,60000,52365,"Petrol","Dealer","Manual","Second Owner"
"2461",2007,120000,53512,"Petrol","Dealer","Manual","Second Owner"
"2462",2005,110000,53563,"Petrol","Dealer","Manual","Second Owner"
"2463",2013,1000000,40000,"Diesel","Individual","Automatic","First Owner"
"2464",2010,220000,46533,"Petrol","Dealer","Manual","First Owner"
"2465",2005,105000,59635,"Petrol","Dealer","Manual","Second Owner"
"2466",2008,114999,58632,"Petrol","Dealer","Manual","Second Owner"
"2467",2008,110000,58632,"LPG","Dealer","Manual","Second Owner"
"2468",2016,850000,80000,"Diesel","Individual","Automatic","Second Owner"
"2469",2016,750000,70000,"Diesel","Individual","Manual","First Owner"
"2470",2017,265000,90000,"Petrol","Individual","Manual","First Owner"
"2471",2014,450000,110000,"Petrol","Individual","Manual","Second Owner"
"2472",2013,225000,90000,"Diesel","Individual","Manual","First Owner"
"2473",2015,1125000,70000,"Diesel","Individual","Manual","First Owner"
"2474",2009,270000,80000,"Petrol","Individual","Manual","First Owner"
"2475",2007,130000,78000,"Petrol","Individual","Manual","First Owner"
"2476",2017,660000,45000,"Diesel","Individual","Manual","First Owner"
"2477",2015,240000,50000,"Petrol","Individual","Manual","Second Owner"
"2478",2017,275000,58000,"Petrol","Individual","Manual","First Owner"
"2479",2012,750000,120000,"Diesel","Individual","Manual","First Owner"
"2480",2007,65000,30000,"Petrol","Individual","Manual","Second Owner"
"2481",2017,850000,162000,"Diesel","Individual","Manual","First Owner"
"2482",2016,300000,50000,"CNG","Individual","Manual","Second Owner"
"2483",2018,555000,25000,"Petrol","Individual","Manual","Second Owner"
"2484",2015,825000,60000,"Diesel","Individual","Manual","First Owner"
"2485",2010,150000,70000,"LPG","Individual","Manual","Third Owner"
"2486",2009,185000,138000,"Diesel","Individual","Manual","Second Owner"
"2487",2010,180000,70000,"Petrol","Individual","Manual","Second Owner"
"2488",2010,160000,48000,"Petrol","Individual","Manual","Second Owner"
"2489",2012,500000,110000,"Diesel","Individual","Automatic","First Owner"
"2490",2014,375000,88000,"Diesel","Individual","Manual","Second Owner"
"2491",2015,900000,68000,"Diesel","Individual","Manual","First Owner"
"2492",2017,459999,70000,"Petrol","Individual","Manual","First Owner"
"2493",2014,480000,80000,"Diesel","Individual","Manual","First Owner"
"2494",2013,320000,100000,"Diesel","Individual","Manual","Third Owner"
"2495",2013,370000,96000,"Diesel","Individual","Manual","Second Owner"
"2496",2005,80000,123219,"Petrol","Individual","Manual","Third Owner"
"2497",2002,75000,30000,"Petrol","Individual","Manual","Third Owner"
"2498",2016,400000,60000,"Diesel","Individual","Manual","Third Owner"
"2499",2005,250000,90000,"Petrol","Individual","Automatic","Second Owner"
"2500",2014,425000,65000,"Diesel","Individual","Manual","First Owner"
"2501",2014,325000,48000,"Petrol","Individual","Manual","First Owner"
"2502",2016,350000,65300,"Petrol","Individual","Manual","Second Owner"
"2503",2018,600000,40000,"Petrol","Individual","Manual","First Owner"
"2504",2012,120000,60000,"Diesel","Individual","Manual","Second Owner"
"2505",2012,200000,70000,"Petrol","Individual","Manual","Second Owner"
"2506",2008,100000,70000,"Petrol","Individual","Manual","Third Owner"
"2507",2014,350000,70000,"Diesel","Individual","Manual","Second Owner"
"2508",2006,85000,150000,"Petrol","Individual","Manual","Second Owner"
"2509",2019,399000,10000,"Petrol","Individual","Manual","First Owner"
"2510",2014,580000,56000,"Diesel","Individual","Manual","First Owner"
"2511",2017,290000,30000,"Petrol","Individual","Manual","First Owner"
"2512",2014,380000,50000,"Petrol","Individual","Manual","Second Owner"
"2513",2010,200000,120000,"Diesel","Individual","Manual","First Owner"
"2514",2018,390000,40000,"CNG","Individual","Manual","First Owner"
"2515",2017,500000,27500,"Petrol","Individual","Manual","First Owner"
"2516",2012,520000,73000,"Diesel","Individual","Manual","First Owner"
"2517",2017,650000,75000,"Diesel","Individual","Manual","First Owner"
"2518",2018,380000,5000,"Petrol","Individual","Manual","First Owner"
"2519",2010,275000,50000,"LPG","Individual","Manual","First Owner"
"2520",2015,520000,70000,"Diesel","Individual","Manual","First Owner"
"2521",2015,610000,60000,"Diesel","Individual","Manual","First Owner"
"2522",2004,85000,110000,"Petrol","Individual","Manual","First Owner"
"2523",2013,490000,95000,"Diesel","Individual","Manual","First Owner"
"2524",2015,229999,34000,"Petrol","Individual","Manual","Second Owner"
"2525",2015,411000,25000,"Petrol","Individual","Manual","First Owner"
"2526",2019,362000,120000,"CNG","Individual","Manual","Second Owner"
"2527",2014,550000,31000,"Diesel","Individual","Manual","First Owner"
"2528",2018,459999,70000,"CNG","Individual","Manual","First Owner"
"2529",2011,190000,47000,"Petrol","Individual","Manual","First Owner"
"2530",2019,499000,5000,"Petrol","Individual","Automatic","First Owner"
"2531",2018,358000,44000,"Petrol","Individual","Manual","First Owner"
"2532",2012,278000,120000,"Diesel","Individual","Manual","Second Owner"
"2533",2014,320000,39395,"Diesel","Individual","Manual","First Owner"
"2534",2013,580000,67000,"Diesel","Individual","Manual","Second Owner"
"2535",2019,1300000,20000,"Petrol","Individual","Automatic","First Owner"
"2536",2018,825000,40000,"Diesel","Individual","Manual","First Owner"
"2537",2004,170000,120000,"Petrol","Individual","Manual","Second Owner"
"2538",2014,1700000,80000,"Diesel","Individual","Manual","Second Owner"
"2539",2018,490000,7000,"Petrol","Individual","Manual","First Owner"
"2540",2018,1050000,15000,"Diesel","Individual","Manual","First Owner"
"2541",2016,210000,50000,"Petrol","Individual","Manual","First Owner"
"2542",2016,1250000,30000,"Diesel","Individual","Manual","First Owner"
"2543",2012,320000,120000,"Diesel","Individual","Manual","Second Owner"
"2544",2012,400000,64000,"Diesel","Individual","Manual","First Owner"
"2545",2013,320000,120000,"Diesel","Individual","Manual","First Owner"
"2546",2012,600000,85000,"Diesel","Individual","Manual","First Owner"
"2547",2012,275000,50000,"Petrol","Individual","Manual","First Owner"
"2548",2009,170000,59000,"Petrol","Individual","Manual","Second Owner"
"2549",2012,155000,98000,"Diesel","Individual","Manual","First Owner"
"2550",2012,240000,70000,"Diesel","Individual","Manual","First Owner"
"2551",2012,240000,70000,"Diesel","Individual","Manual","First Owner"
